Cpd_Id	DataSet	CpdClass	Comp_1	Comp_2	Comp_3
MPI_BAG_296-1	PNPs	A	-1.9024320044704444	-0.07873679436160338	-1.3010338199790625
MPI_BAG_299-1	PNPs	A	-1.6285086154234016	-0.026098167602811376	-1.1508975236332912
MPI_BAG_299-2	PNPs	A	-1.1461520486253565	-0.43279459229627437	-1.47241947332497
MPI_BAG_299-3	PNPs	A	-1.6540152989934853	0.21287254737668018	-1.3174621254247347
MPI_BAG_301	PNPs	A	-1.8672782598932631	-0.11720373302386486	-1.2921810789096788
MPI_BAG_303	PNPs	A	-1.9342645874832871	0.16257679434243705	-1.4648138046757966
MPI_BAG_304	PNPs	A	-1.8589430599442034	-0.15204461160539326	-1.2882569661007226
MPI_BAG_312	PNPs	A	-1.45433357759869	0.2877442187169943	-2.5577979713541765
MPI_BAG_319	PNPs	A	-1.938432187457816	0.17999723363320128	-1.4667758610802746
MPI_BAG_376	PNPs	A	-1.3986591470718353	0.19155015589267305	-2.6647046849774623
MPI_BAG_377	PNPs	A	-1.914638416708041	0.09957979003874619	-1.5605980804679769
MPI_BAG_379	PNPs	A	-1.9497442445315405	0.22728128313670415	-1.4721014427495727
MPI_BAG_380	PNPs	A	-1.9229736166571008	0.13442066862027457	-1.564522193276933
MPI_BAG_381	PNPs	A	-1.100916503691842	-0.4846747795025312	-1.473120231750068
MPI_BAG_393	PNPs	A	-1.86122336785766	0.029967145660710695	-1.5539533384014375
MPI_BAG_427	PNPs	A	-1.3826145872787294	-0.0036047625524513083	-2.395310049367719
MPI_BAG_465	PNPs	A	-1.1752960307116096	-0.1635580875435905	-1.6442982063944773
MPI_BAG_468	PNPs	A	-1.9500872119895138	0.3520312447346378	-1.6246582261723406
MPI_BAG_469	PNPs	A	-1.6623504989425444	0.24771342595820875	-1.321386238233691
MPI_BAG_470	PNPs	A	-1.9404613328079858	0.35794674029218265	-1.7316336421430318
MPI_BAG_472	PNPs	A	-1.896794427172947	0.12948930360941843	-1.4584722571637943
MPI_BAG_474	PNPs	A	-1.6665180989170743	0.2651338652489729	-1.323348294638169
MPI_BAG_475	PNPs	A	-1.9380798471082534	0.3479922035546032	-1.730512467054759
MPI_BAG_476	PNPs	A	-1.4121228382514437	0.2706867157142922	-2.6379324424886277
MPI_BAG_484	PNPs	A	-1.4642600902880112	-0.14792917094815114	-2.3568646892146794
MPI_BAG_485	PNPs	A	-1.3079528411418393	-0.0281943491228903	-1.0197599821371923
MPI_BAG_490	PNPs	A	-1.1633886022129527	-0.21333077123148836	-1.6386923309531114
MPI_BAG_491	PNPs	A	-1.4107415833406556	-0.6234967354140005	-1.8548362750195746
MPI_BAG_494	PNPs	A	-1.924143273259429	0.12027001320772383	-1.4600488105506355
MPI_BAG_501	PNPs	A	-1.9625900119131048	0.40429256260693064	-1.630544395385775
MPI_BAG_502	PNPs	A	-0.8458668791232964	-0.37124706324359924	-1.3457826627296912
MPI_BAG_617	PNPs	A	-1.9434381899326492	0.37038991121415726	-1.7330351110033733
MPI_BAG_618	PNPs	A	-1.282482995617957	0.11915739184061697	-1.291841279082814
MPI_BAG_622	PNPs	A	-0.9387083114814542	-0.09394425792162157	-0.9050897271524724
MPI_BAG_637	PNPs	A	-1.3287336469472477	0.2271711287449375	-1.1927438597472444
MPI_BAG_638	PNPs	A	-1.2560305148304405	-0.08564486324322076	-1.028608526963247
MPI_BAG_642	PNPs	A	-1.86122336785766	0.029967145660710695	-1.5539533384014375
MPI_BAG_687	PNPs	A	-1.1336492487017666	-0.48505591016856675	-1.4665333041115358
MPI_BAG_776	PNPs	A	-1.24588699585226	-0.047969016668811246	-2.310138463189452
MPI_BAG_777	PNPs	A	-1.812147512674903	0.2576666577438299	-1.8319178330051553
MPI_BAG_480	PNPs	B	-1.7961290864875221	0.030082201847501076	-1.3225344474575964
MPI_BAG_482	PNPs	B	-1.8575971983679185	0.13450769759782946	-1.2283100847040074
