Cpd_Id	DataSet	CpdClass	Comp_1	Comp_2	Comp_3
MPI_BAG_606	PNPs	E	-0.48985194038792507	0.2351384603502328	-3.0303132706700837
MPI_BAG_609	PNPs	E	-0.7666049578461234	0.13712028557979888	-3.149859866028719
MPI_BAG_610	PNPs	E	-0.8176965019679646	0.5552144470702702	-3.473504364659269
MPI_BAG_611	PNPs	E	-0.8714698869556429	0.3308370704959452	-3.151037985239761
MPI_BAG_623	PNPs	E	-0.7994003312787339	0.5851363685291822	-3.590804848631551
MPI_BAG_625	PNPs	E	-0.7973831548731007	0.36904109759137327	-3.41729015449457
MPI_BAG_635	PNPs	E	-0.8410942042377295	0.4574021801211417	-3.314836080128922
MPI_BAG_639	PNPs	E	-0.38026152577134714	0.1422948876983957	-4.169730355510553
MPI_BAG_640	PNPs	E	-0.7181558061836979	0.45331834979669744	-3.5973744020291094
MPI_BAG_644	PNPs	E	0.25552643170349043	0.18017328588245962	-2.8362913328279435
MPI_BAG_645	PNPs	E	-0.02640602709359577	0.13947503095100378	-4.069401494927945
MPI_BAG_646	PNPs	E	-0.3066838812909522	0.04105421658928851	-4.186994521687298
MPI_BAG_675	PNPs	E	-0.7163696919088992	0.4458524472435127	-3.5965335207129057
MPI_BAG_760	PNPs	E	-0.12342747884236113	0.20624560574827205	-2.9274235066552867
MPI_BAG_761	PNPs	E	-0.052126942367354503	0.10789773260132253	-2.943481519234288
MPI_BAG_762	PNPs	E	-0.12461822169222675	0.21122287411706184	-2.9279840941994237
MPI_BAG_771	PNPs	E	-0.42446846068899224	0.3631907292852126	-3.21800337361073
MPI_BAG_772	PNPs	E	-0.4194744271586951	0.13465228742542928	-3.043087210613409
MPI_BAG_411	PNPs	F	-1.9503362176013153	-0.13076541546812429	-1.247295885026352
MPI_BAG_412	PNPs	F	-1.7144224076259755	-0.0006109603985736208	-1.1138399446636558
MPI_BAG_413	PNPs	F	-1.232158887126288	-0.41294325212188643	-1.4339650056514865
MPI_BAG_414	PNPs	F	-1.4836591783459256	0.0049897443887948	-2.380522068515047
MPI_BAG_415	PNPs	F	-1.5000338101926123	0.1881074250988924	-2.6520092053415327
MPI_BAG_416	PNPs	F	-1.5592397463912095	0.3101143130506809	-2.547234335940128
MPI_BAG_417	PNPs	F	-1.1871642944754082	-0.4765125720966428	-1.4287711063967852
MPI_BAG_418	PNPs	F	-0.7601429205251563	-0.26328150353019786	-2.57333313377276
MPI_BAG_432	PNPs	F	-1.5062185865727755	0.4216231353274655	-2.827485955882991
MPI_BAG_503	PNPs	F	-1.5405892637222445	0.06064112131331045	-2.3745330421803907
MPI_BAG_514	PNPs	F	-2.030690972409368	0.20521808040146197	-1.427785660800058
MPI_BAG_516	PNPs	F	-1.9538759675742776	0.02437273844899875	-1.5080735059322308
MPI_BAG_517	PNPs	F	-1.4994384387676793	0.18561879091449743	-2.651728911569465
MPI_BAG_518	PNPs	F	-1.511576929397171	0.44402084298701955	-2.8300085998316056
MPI_BAG_521	PNPs	F	-1.5663842034904036	0.3399779232634196	-2.550597861204947
MPI_BAG_522	PNPs	F	-1.9479547319015846	-0.14071995220570382	-1.2461747099380787
MPI_BAG_524	PNPs	F	-2.0091612939722494	0.11417603588651576	-1.5200434937447564
MPI_BAG_525	PNPs	F	-1.5592397463912095	0.3101143130506809	-2.547234335940128
MPI_BAG_552	PNPs	F	-1.9922901148380165	0.15285495437062926	-1.4158408638482487
MPI_BAG_554	PNPs	F	-1.9786285074948797	-0.11062023889643018	-1.2590548636130312
MPI_BAG_632	PNPs	F	-1.5817537107940507	-0.04774874628888087	-2.332059835988651
MPI_BAG_812	PNPs	F	-2.030690972409368	0.20521808040146197	-1.427785660800058
MPI_BAG_815	PNPs	F	-2.042063597204815	0.3870726116858686	-1.6908102120389783
MPI_BAG_821	PNPs	F	-1.6035671431843943	0.2028958823107642	-2.5033688212010343
MPI_BAG_398	PNPs	G	-1.2297853953507778	0.2391585987484602	-2.27658042076523
MPI_BAG_399	PNPs	G	-1.7183291043550781	0.3497603750002011	-1.3344141982239042
MPI_BAG_400	PNPs	G	-1.6440578815570646	0.030417659753359555	-1.156179504665123
MPI_BAG_401	PNPs	G	-1.3960048959984337	0.14304147692221345	-1.0249436862042955
MPI_BAG_402	PNPs	G	-0.9015445099293661	-0.28118650573360265	-1.348679832625768
MPI_BAG_403	PNPs	G	-1.1641964096200577	0.14502195137492085	-2.2809105859111125
MPI_BAG_404	PNPs	G	-1.1834215972906763	0.34134784665149154	-2.5489099503874653
MPI_BAG_406	PNPs	G	-0.8527367364462544	-0.34799849804622923	-1.3476988284184563
MPI_BAG_407	PNPs	G	-0.412008096231506	-0.15882479063916424	-2.480381616921517
MPI_BAG_527	PNPs	G	-0.8281766326529537	0.33648137599216627	-2.4384241631261703
MPI_BAG_528	PNPs	G	-1.6445927980735773	0.1940824944451807	-1.4205849140601623
MPI_BAG_533	PNPs	G	-1.2365935194876578	0.4541930914647555	-2.447308207729256
MPI_BAG_555	PNPs	G	-1.689332940358104	0.11119137955033428	-1.1697972398596674
MPI_BAG_681	PNPs	G	-1.6681226597139949	0.260348855756939	-1.3213449276744718
MPI_BAG_683	PNPs	G	-1.6445927980735773	0.1940824944451807	-1.4205849140601623
MPI_BAG_685	PNPs	G	-1.7203059262847447	0.5224647286679345	-1.6002187864010375
MPI_BAG_695	PNPs	G	-1.7203059262847447	0.5224647286679345	-1.6002187864010375
MPI_BAG_809	PNPs	G	-1.2739267853986642	0.3036474810006733	-2.4012382663738765
MPI_BAG_813	PNPs	G	-1.7123753901057492	0.3248740331562519	-1.3316112605032209
MPI_BAG_817	PNPs	G	-1.4227673923849555	0.4023234449373174	-1.1957012441855295
MPI_BAG_488	PNPs	H	-1.4201910513443838	0.15819285441715183	-2.0345027065426065
MPI_BAG_563	PNPs	H	-1.368972488574669	0.06828417615184981	-2.0248152825451364
MPI_BAG_699	PNPs	H	-1.4435497336218899	0.39127174329701475	-2.200787687069772
MPI_BAG_796	PNPs	H	-1.112026025276834	0.17988231691827553	-1.8980366834984401
